,rmse,md,r2
30,0.06529654912240997,0.00017949750833979504,0.6924097580453709
20,0.06339034562253074,0.0001756848218929421,0.6946481965759519
15,0.062340233555381416,0.00029681985330975747,0.7106826816388184
10,0.06799735474198125,0.0006029936393784404,0.6659997556532562
7,0.06229632847400037,0.00018763087604354835,0.7026445773154096
5,0.06769729332434266,0.0002592462532278383,0.6759862742021687
