lon, lat, freeboard (m), standard deviation, count
-180 88 0.173697864769 0.123712168509	562
-178.5 88 0.189484881603 0.132084172624	549
-177 88 0.164525995807 0.130912119134	477
-175.5 88 0.148962985685 0.121863734873	489
-174 88 0.155620169851 0.129943304809	471
-172.5 88 0.140885102041 0.132727459594	490
-171 88 0.147165173116 0.135770066239	491
-169.5 88 0.158026215645 0.128023236064	473
-168 88 0.160226666667 0.132929017526	495
-166.5 88 0.173033537832 0.135911965013	489
-165 88 0.170749811321 0.11751989515	530
-163.5 88 0.188727289377 0.135321869802	546
-162 88 0.187440631164 0.130899442163	507
-160.5 88 0.176052125693 0.132097928532	541
-159 88 0.176691800357 0.134747772061	561
-157.5 88 0.174126739927 0.117611485659	546
-156 88 0.178159689922 0.126775657992	516
-154.5 88 0.180800336134 0.133760613223	595
-153 88 0.166078842315 0.131343849462	501
-151.5 88 0.186559368421 0.131705736812	475
-150 88 0.1741390681 0.127750037353	558
-148.5 88 0.183754144621 0.132745278328	567
-147 88 0.201675418994 0.139385000083	716
-145.5 88 0.202853988604 0.132674311384	702
-144 88 0.216403125 0.126087813061	736
-142.5 88 0.219910394737 0.122805663544	760
-141 88 0.208378193548 0.128536189022	775
-139.5 88 0.220476788124 0.118555557057	741
-138 88 0.22023345367 0.124410730322	831
-136.5 88 0.221973366834 0.127659996716	796
-135 88 0.198565918654 0.129581075017	713
-133.5 88 0.179537837838 0.126538461765	814
-132 88 0.20155483871 0.122026074651	868
-130.5 88 0.214778209277 0.123017862054	927
-129 88 0.208568170732 0.122464497356	820
-127.5 88 0.199928978008 0.121134405349	773
-126 88 0.201415699208 0.121306367623	758
-124.5 88 0.207956886228 0.124678612009	835
-123 88 0.201072756757 0.118940912126	925
-121.5 88 0.186079949559 0.120618545838	793
-120 88 0.189538122172 0.107871041172	884
-118.5 88 0.180736536313 0.114608179581	895
-117 88 0.175004842342 0.120169894901	888
-115.5 88 0.168068090154 0.114549940108	843
-114 88 0.180641569087 0.113176063621	854
-112.5 88 0.184980444965 0.115013843519	854
-111 88 0.190561117579 0.112273843654	859
-109.5 88 0.19025209713 0.10543765774	906
-108 88 0.188661640531 0.11183276723	829
-106.5 88 0.188754585153 0.106121972049	916
-105 88 0.18779027933 0.111973687313	895
-103.5 88 0.179260517435 0.109103452457	889
-102 88 0.181354394904 0.113060618151	785
-100.5 88 0.171396827586 0.11320497875	725
-99 88 0.178636512262 0.107114577263	734
-97.5 88 0.157946656535 0.118634775983	658
-96 88 0.166154189944 0.114187522357	716
-94.5 88 0.166640359897 0.108419653914	778
-93 88 0.164267222222 0.109782205377	900
-91.5 88 0.157616454082 0.114319972733	784
-90 88 0.154054921021 0.106975560217	823
-88.5 88 0.163471140143 0.126011404976	842
-87 88 0.174110462287 0.113728455523	822
-85.5 88 0.162017531719 0.116281048964	867
-84 88 0.137073176761 0.111835514427	809
-82.5 88 0.136541744966 0.116540664322	745
-81 88 0.127270713392 0.117537454675	799
-79.5 88 0.14774394993 0.124228766148	719
-78 88 0.140295833333 0.119653691735	816
-76.5 88 0.138621919585 0.117755380606	771
-75 88 0.122563323782 0.11896235483	698
-73.5 88 0.127873349938 0.110238619725	803
-72 88 0.126114930991 0.107419350443	797
-70.5 88 0.1249461837 0.111388883509	773
-69 88 0.128637257439 0.116475446205	773
-67.5 88 0.139081423402 0.106144002961	829
-66 88 0.124591091593 0.113201521548	797
-64.5 88 0.130921945137 0.112964203304	802
-63 88 0.137648843188 0.110831561209	778
-61.5 88 0.133170972222 0.11437609328	720
-60 88 0.127222571819 0.115972816238	731
-58.5 88 0.131148941799 0.11838849231	756
-57 88 0.135035092348 0.112598551735	758
-55.5 88 0.142942611191 0.112726786766	697
-54 88 0.148331398417 0.113501511071	758
-52.5 88 0.157498343949 0.112795727004	785
-51 88 0.142956258065 0.115590444398	775
-49.5 88 0.148631396957 0.114303178507	723
-48 88 0.140591702432 0.111118298637	699
-46.5 88 0.134174710983 0.110468045602	692
-45 88 0.12415557377 0.107623513083	610
-43.5 88 0.119550628931 0.118949660429	636
-42 88 0.122819512195 0.115772336016	656
-40.5 88 0.136437264957 0.110890037842	585
-39 88 0.132463738019 0.120719748488	626
-37.5 88 0.124419277108 0.117756000536	581
-36 88 0.122519716088 0.113820712261	634
-34.5 88 0.114827557756 0.119215763766	606
-33 88 0.12710589198 0.117235517605	611
-31.5 88 0.138489577039 0.117661621796	662
-30 88 0.124013477537 0.120676433773	601
-28.5 88 0.141192532468 0.120794837326	616
-27 88 0.122818248175 0.118800610749	548
-25.5 88 0.118493116635 0.123440169906	523
-24 88 0.125950810811 0.114038758114	555
-22.5 88 0.121635963303 0.117878860856	545
-21 88 0.126253269231 0.115544612863	520
-19.5 88 0.111621474359 0.110955717254	624
-18 88 0.11995576324 0.111683030439	642
-16.5 88 0.106040285205 0.116548740337	561
-15 88 0.130030326594 0.110579286328	643
-13.5 88 0.102880550459 0.116456675814	545
-12 88 0.118636394558 0.116196762726	588
-10.5 88 0.122360761589 0.120489482762	604
-9 88 0.138475688817 0.121309823743	617
-7.5 88 0.127741166078 0.11800774199	566
-6 88 0.127269302326 0.117854509292	645
-4.5 88 0.126935478548 0.116547760062	606
-3 88 0.119737099494 0.126026913845	593
-1.5 88 0.132493186004 0.120469697196	543
0 88 0.119369051581 0.114947294621	601
1.5 88 0.128809149278 0.117628162285	623
3 88 0.125528280961 0.120446265238	541
4.5 88 0.117635813149 0.121797136852	578
6 88 0.123256463878 0.117950985244	526
7.5 88 0.14199551167 0.122781864967	557
9 88 0.136539864865 0.121515968321	592
10.5 88 0.145678018576 0.124299138477	646
12 88 0.147602825746 0.121033456021	637
13.5 88 0.150208571429 0.121959344745	630
15 88 0.148981311475 0.122155812014	610
16.5 88 0.154488 0.126153230875	625
18 88 0.160120208024 0.119691478053	673
19.5 88 0.155709284627 0.129083679334	657
21 88 0.181793253373 0.127679484806	667
22.5 88 0.189184171598 0.123791991488	676
24 88 0.172356901408 0.126557359965	710
25.5 88 0.193171890145 0.12099047992	619
27 88 0.184066756393 0.128065898367	743
28.5 88 0.186077857143 0.130904051654	700
30 88 0.173213137558 0.122834561639	647
31.5 88 0.158209695817 0.116470210216	526
33 88 0.165491382114 0.125323153651	615
34.5 88 0.161149614792 0.131627001892	649
36 88 0.168857333333 0.123279778733	675
37.5 88 0.171868075117 0.129952995775	639
39 88 0.179932098765 0.128477401788	648
40.5 88 0.18296572238 0.129141998764	706
42 88 0.18677804878 0.125731130838	697
43.5 88 0.184449291339 0.128340619513	635
45 88 0.183885200553 0.127446074043	723
46.5 88 0.189993432836 0.132305001115	670
48 88 0.188325523013 0.125283683251	717
49.5 88 0.182627801418 0.128674001373	705
51 88 0.196202014388 0.127960903933	695
52.5 88 0.19821448468 0.123012674616	718
54 88 0.192414183381 0.126133998625	698
55.5 88 0.195730416667 0.117854358294	720
57 88 0.180115714286 0.122256270671	700
58.5 88 0.187821137026 0.12044335873	686
60 88 0.190565466667 0.120309654523	750
61.5 88 0.171863273728 0.119107420261	727
63 88 0.183060455192 0.1173090538	703
64.5 88 0.165030054645 0.12263879141	732
66 88 0.187689276486 0.117191534278	774
67.5 88 0.172561960784 0.119666678338	765
69 88 0.184380452128 0.118250754144	752
70.5 88 0.180516830295 0.110292467668	713
72 88 0.164380626781 0.112599881776	702
73.5 88 0.17232 0.120063302422	735
75 88 0.157754087193 0.115088490082	734
76.5 88 0.164572061069 0.11561437708	655
78 88 0.176786764706 0.11797978822	680
79.5 88 0.178221866295 0.115361930533	718
81 88 0.165541568047 0.120468774389	676
82.5 88 0.188363799743 0.116333406374	779
84 88 0.180928551532 0.118917156475	718
85.5 88 0.181656920904 0.115798392917	708
87 88 0.177361360719 0.121268895101	779
88.5 88 0.170762344828 0.11655594359	725
90 88 0.166520314548 0.115680976456	763
91.5 88 0.166716587678 0.120403237917	844
93 88 0.184085657895 0.118619545797	760
94.5 88 0.192662623762 0.117926089423	808
96 88 0.196732329085 0.109631604204	863
97.5 88 0.184954873164 0.113185083593	749
